1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.ax,stateEstimateZ.ay,stateEstimateZ.az,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
-12,-29,16,12,1,9828,0.0,0.0,0.0,
-12,-29,16,15,10,9816,0.0,0.0,0.0,
-12,-29,16,15,9,9815,0.0,0.0,0.0,
-12,-29,16,-5,-11,9820,0.0,0.0,0.0,
-12,-29,15,4,15,9801,0.0,0.0,0.0,
-12,-29,15,-4,8,9794,0.0,0.0,0.0,
-12,-29,15,-9,-15,9814,0.0,0.0,0.0,
-12,-29,15,17,-22,9835,0.0,0.0,0.0,
-12,-29,15,20,-33,9810,0.0,0.0,0.0,
-12,-29,15,23,-7,9821,0.0,0.0,0.0,
-12,-29,15,22,10,9804,0.0,0.0,0.0,
-12,-29,15,0,-9,9799,0.0,0.0,0.0,
-12,-29,15,4,-25,9788,0.0,0.0,0.0,
-12,-29,15,-3,-22,9817,0.0,0.0,0.0,
-12,-29,15,28,-28,9832,0.0,0.0,0.0,
-12,-29,15,28,-20,9832,0.0,0.0,0.0,
-12,-29,15,15,-2,9826,0.0,0.0,0.0,
-12,-29,15,14,-9,9805,0.0,0.0,0.0,
-12,-29,15,3,1,9808,0.0,0.0,0.0,
-13,-29,15,15,0,9814,0.0,0.0,0.0,
-13,-29,15,18,2,9816,0.0,0.0,0.0,
-13,-29,15,-1,7,9822,0.0,0.0,0.0,
-12,-29,16,9,-10,9822,0.0,0.0,0.0,
-12,-29,16,11,4,9823,0.0,0.0,0.0,
-13,-30,16,0,1,9801,0.0,0.0,0.0,
-13,-29,16,7,1,9799,0.0,0.0,0.0,
-13,-29,15,-3,-15,9828,0.0,0.0,0.0,
-14,-29,15,-13,-6,9819,0.0,0.0,0.0,
-14,-29,15,0,0,9822,0.0,0.0,0.0,
-13,-29,15,-8,-9,9801,0.0,0.0,0.0,
-14,-29,16,-8,-14,9819,0.0,0.0,0.0,
-14,-29,16,2,-18,9818,0.0,0.0,0.0,
-14,-29,16,0,-15,9820,0.0,0.0,0.0,
-13,-29,17,-15,-14,9811,0.0,0.0,0.0,
-13,-29,17,15,-11,9815,0.0,0.0,0.0,
-13,-29,15,26,7,9812,0.0,0.0,0.0,
-13,-29,15,26,-12,9815,0.0,0.0,0.0,
-14,-29,15,7,-9,9800,0.0,0.0,0.0,
-13,-29,15,25,-6,9794,0.0,0.0,0.0,
-13,-29,16,22,-12,9818,0.0,0.0,0.0,
-14,-29,16,8,-7,9805,0.0,0.0,0.0,
-14,-29,16,0,-8,9817,0.0,0.0,0.0,
-14,-29,16,0,-5,9814,0.0,0.0,0.0,
-14,-29,16,9,-14,9819,0.0,0.0,0.0,
-14,-29,16,9,7,9823,0.0,0.0,0.0,
-14,-29,16,4,12,9808,0.0,0.0,0.0,
-14,-29,16,2,13,9816,0.0,0.0,0.0,
-14,-29,16,13,-4,9823,0.0,0.0,0.0,
-14,-29,17,15,-21,9811,0.0,0.0,0.0,
-14,-29,17,14,-8,9808,0.0,0.0,0.0,
-14,-29,17,7,5,9825,0.0,0.0,0.0,
-14,-29,18,5,-1,9846,0.0,0.0,0.0,
-14,-30,17,10,-23,9809,0.0,0.0,0.0,
-15,-30,17,-10,-2,9816,0.0,0.0,0.0,
-15,-30,17,-3,9,9808,0.0,0.0,0.0,
-14,-30,17,1,-9,9797,0.0,0.0,0.0,
-14,-30,16,4,-15,9802,0.0,0.0,0.0,
-14,-30,16,10,-15,9817,0.0,0.0,0.0,
-14,-30,16,23,-23,9809,0.0,0.0,0.0,
-15,-30,16,9,-17,9844,0.0,0.0,0.0,
-15,-30,16,5,-15,9825,0.0,0.0,0.0,
-14,-29,16,15,-17,9806,0.0,0.0,0.0,
-14,-30,16,7,-4,9809,0.0,0.0,0.0,
-14,-30,16,4,0,9810,0.0,0.0,0.0,
-14,-29,16,2,-11,9816,0.0,0.0,0.0,
-14,-29,17,21,-3,9814,0.0,0.0,0.0,
-14,-29,17,22,2,9832,0.0,0.0,0.0,
-14,-29,17,26,-11,9848,0.0,0.0,0.0,
-14,-29,17,29,-14,9819,0.0,0.0,0.0,
-14,-29,17,13,0,9806,0.0,0.0,0.0,
-14,-29,17,10,-2,9806,0.0,0.0,0.0,
-14,-29,17,22,-4,9818,0.0,0.0,0.0,
-14,-29,17,24,-4,9795,0.0,0.0,0.0,
-14,-29,17,28,-7,9799,0.0,0.0,0.0,
-14,-29,17,36,-7,9824,0.0,0.0,0.0,
-14,-29,17,22,-5,9816,0.0,0.0,0.0,
-14,-29,17,-7,-23,9818,0.0,0.0,0.0,
-13,-29,17,0,-21,9809,0.0,0.0,0.0,
-13,-29,16,27,2,9806,0.0,0.0,0.0,
-13,-29,16,48,5,9816,0.0,0.0,0.0,
-14,-29,16,41,-12,9811,0.0,0.0,0.0,
-13,-29,16,17,-4,9818,0.0,0.0,0.0,
-13,-29,15,21,12,9796,0.0,0.0,0.0,
-13,-29,15,10,-2,9816,0.0,0.0,0.0,
-14,-29,15,15,-12,9802,0.0,0.0,0.0,
-14,-29,15,21,-5,9811,0.0,0.0,0.0,
-13,-29,15,32,5,9825,0.0,0.0,0.0,
-14,-30,15,24,5,9831,0.0,0.0,0.0,
-14,-29,15,15,-11,9808,0.0,0.0,0.0,
-13,-29,15,14,-16,9825,0.0,0.0,0.0,
-13,-29,15,17,-7,9813,0.0,0.0,0.0,
-13,-29,14,28,-16,9821,0.0,0.0,0.0,
-13,-29,14,30,-11,9813,0.0,0.0,0.0,
-13,-29,14,13,-9,9816,0.0,0.0,0.0,
-13,-29,14,1,-9,9826,0.0,0.0,0.0,
-13,-29,14,10,4,9838,0.0,0.0,0.0,
-13,-29,14,15,19,9816,0.0,0.0,0.0,
-13,-29,14,19,3,9813,0.0,0.0,0.0,
-13,-29,14,7,-17,9823,0.0,0.0,0.0,
-14,-29,14,9,-8,9822,0.0,0.0,0.0,
-14,-30,15,24,-4,9821,0.0,0.0,0.0,
-14,-30,15,15,-6,9803,0.0,0.0,0.0,
-13,-29,15,-3,-12,9794,0.0,0.0,0.0,
-13,-29,15,-1,-12,9828,0.0,0.0,0.0,
-13,-29,15,8,-1,9826,0.0,0.0,0.0,
-13,-29,15,16,-5,9823,0.0,0.0,0.0,
-13,-29,15,15,0,9805,0.0,0.0,0.0,
-13,-29,15,20,3,9814,0.0,0.0,0.0,
-13,-29,15,29,4,9819,0.0,0.0,0.0,
-13,-29,15,21,-4,9823,0.0,0.0,0.0,
-13,-29,15,14,0,9831,0.0,0.0,0.0,
-13,-29,15,-2,5,9835,0.0,0.0,0.0,
-13,-29,15,19,-3,9826,0.0,0.0,0.0,
-13,-29,15,29,-3,9808,0.0,0.0,0.0,
-13,-29,15,25,6,9822,0.0,0.0,0.0,
-12,-29,15,31,0,9802,0.0,0.0,0.0,
-13,-29,15,6,-5,9817,0.0,0.0,0.0,
-13,-29,16,20,-8,9792,0.0,0.0,0.0,
-12,-29,16,6,6,9791,0.0,0.0,0.0,
-13,-30,16,-2,0,9816,0.0,0.0,0.0,
-13,-30,16,7,-14,9822,0.0,0.0,0.0,
-13,-30,17,27,-11,9825,-12.0,-29.0,16.0,
-13,-30,17,35,-10,9842,-12.0,-29.0,16.0,
-13,-30,17,18,-22,9822,-12.0,-29.0,16.0,
-13,-30,17,-49,12,9754,-12.0,-29.0,16.0,
-13,-30,17,63,72,9916,-12.0,-29.0,17.0,
-13,-30,16,286,-91,9748,-12.0,-29.0,17.0,
-13,-30,16,229,50,9643,-12.0,-29.0,18.0,
-13,-30,16,-196,-17,9848,-12.0,-29.0,18.0,
-13,-30,17,-19,-29,9733,-12.0,-29.0,21.0,
-13,-30,17,44,-36,9735,-12.0,-29.0,21.0,
-13,-29,17,103,-115,10050,-12.0,-29.0,24.0,
-13,-30,17,245,281,10023,-12.0,-29.0,24.0,
-13,-30,17,-1,208,9526,-12.0,-29.0,30.0,
-13,-30,15,-9,5,10303,-12.0,-29.0,30.0,
-13,-30,15,98,4,9537,-12.0,-29.0,38.0,
-13,-30,15,0,113,10010,-12.0,-29.0,38.0,
-13,-30,15,-118,166,9319,-12.0,-29.0,48.0,
-13,-29,15,-102,-44,8394,-12.0,-29.0,48.0,
-13,-29,15,24,141,10883,-12.0,-29.0,61.0,
-13,-29,14,27,111,10007,-12.0,-29.0,61.0,
-13,-28,14,-69,-63,9186,-12.0,-29.0,76.0,
-13,-28,14,-22,-190,9995,-12.0,-29.0,76.0,
-12,-28,13,-84,-11,9756,-12.0,-29.0,92.0,
-13,-26,13,173,20,10083,-12.0,-29.0,92.0,
-12,-27,13,-73,254,10490,-12.0,-29.0,111.0,
-12,-26,12,-23,161,10378,-12.0,-29.0,111.0,
-13,-25,10,-108,-103,10555,-12.0,-29.0,130.0,
-13,-25,10,16,93,11035,-12.0,-29.0,130.0,
-14,-23,9,134,106,11361,-12.0,-29.0,150.0,
-14,-23,10,273,39,11417,-12.0,-29.0,150.0,
-14,-20,10,271,343,11711,-12.0,-29.0,170.0,
-14,-20,6,283,127,12169,-12.0,-29.0,170.0,
-15,-19,6,108,270,12493,-12.0,-29.0,191.0,
-17,-19,7,-209,-102,12692,-12.0,-29.0,191.0,
-19,-19,8,-192,392,12422,-12.0,-29.0,210.0,
-16,-15,5,0,228,12264,-12.0,-29.0,210.0,
-17,-12,6,127,349,12397,-12.0,-29.0,228.0,
-18,-12,8,-137,316,12751,-12.0,-29.0,228.0,
-18,-13,10,-282,85,12951,-12.0,-29.0,244.0,
-20,-12,12,-495,140,12875,-12.0,-29.0,244.0,
-23,-10,15,-487,-416,12969,-12.0,-29.0,258.0,
-21,-12,18,-454,-280,12970,-12.0,-29.0,258.0,
-16,-16,22,-283,-181,12862,-12.0,-29.0,270.0,
-17,-15,25,-135,-190,12662,-12.0,-29.0,270.0,
-20,-19,31,-202,-115,12477,-12.0,-29.0,280.0,
-23,-23,35,-157,-222,12375,-12.0,-29.0,280.0,
-24,-23,39,-186,-275,12530,-12.0,-29.0,287.0,
-21,-25,44,100,-136,12343,-12.0,-29.0,287.0,
-21,-25,53,92,103,12257,-12.0,-29.0,292.0,
-19,-27,59,151,-63,12103,-12.0,-29.0,292.0,
-18,-27,64,142,-168,12119,-12.0,-29.0,296.0,
-19,-26,70,121,-215,11995,-12.0,-29.0,296.0,
-21,-24,81,105,-93,11847,-12.0,-29.0,298.0,
-22,-23,88,100,-58,11788,-12.0,-29.0,298.0,
-24,-20,94,-4,-1,11925,-12.0,-29.0,299.0,
-25,-20,101,51,139,11765,-12.0,-29.0,299.0,
-26,-18,115,103,11,11834,-12.0,-29.0,299.0,
-24,-16,122,20,10,11949,-12.0,-29.0,299.0,
-24,-15,130,-81,339,11787,-12.0,-29.0,299.0,
-24,-15,139,121,1,11422,-12.0,-29.0,299.0,
-21,-17,147,131,-100,11474,-12.0,-29.0,300.0,
-21,-17,152,160,-3,11099,-12.0,-29.0,300.0,
-22,-17,161,370,2,10455,-12.0,-29.0,300.0,
-22,-16,169,312,-226,10214,-12.0,-29.0,300.0,
-22,-14,179,133,-211,10071,-12.0,-29.0,300.0,
-23,-14,189,145,43,9796,-12.0,-29.0,300.0,
-23,-13,199,-212,-64,9622,-12.0,-29.0,300.0,
-22,-12,208,-79,-124,9051,-12.0,-29.0,300.0,
-25,-10,218,242,-59,8825,-12.0,-29.0,300.0,
-26,-10,225,227,-84,8554,-12.0,-29.0,300.0,
-26,-9,233,234,-21,8373,-12.0,-29.0,300.0,
-27,-5,241,117,-54,8132,-12.0,-29.0,300.0,
-27,-4,249,275,4,7728,-12.0,-29.0,300.0,
-28,-4,257,281,-107,7313,-12.0,-29.0,300.0,
-28,-3,263,257,-37,7136,-12.0,-29.0,300.0,
-29,-2,271,227,-42,7058,-12.0,-29.0,300.0,
-27,-4,278,240,-46,7120,-12.0,-29.0,300.0,
-26,-2,284,224,-16,6526,-12.0,-29.0,300.0,
-27,0,292,157,29,6132,-12.0,-29.0,300.0,
-27,0,298,166,-100,6233,-12.0,-29.0,300.0,
-28,0,304,292,-20,6388,-12.0,-29.0,300.0,
-28,0,309,90,-97,6320,-12.0,-29.0,300.0,
