1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,
9454,-23491,8,0.0,0.0,0.0,0.0,
9455,-23492,8,0.0,0.0,0.0,0.0,
9454,-23491,8,0.0,0.0,0.0,0.0,
9455,-23491,8,0.0,0.0,0.0,0.0,
9456,-23492,8,0.0,0.0,0.0,0.0,
9455,-23492,8,0.0,0.0,0.0,0.0,
9454,-23491,9,0.0,0.0,0.0,0.0,
9455,-23491,9,0.0,0.0,0.0,0.0,
9455,-23491,9,0.0,0.0,0.0,0.0,
9455,-23492,9,0.0,0.0,0.0,0.0,
9454,-23492,8,0.0,0.0,0.0,0.0,
9454,-23493,8,0.0,0.0,0.0,0.0,
9454,-23492,8,0.0,0.0,0.0,0.0,
9454,-23491,8,0.0,0.0,0.0,0.0,
9455,-23492,8,0.0,0.0,0.0,0.0,
9454,-23491,8,0.0,0.0,0.0,0.0,
9454,-23492,8,0.0,0.0,0.0,0.0,
9454,-23492,8,0.0,0.0,0.0,0.0,
9454,-23492,8,0.0,0.0,0.0,0.0,
9458,-23493,8,0.0,0.0,0.0,0.0,
9456,-23492,8,0.0,0.0,0.0,0.0,
9456,-23492,8,0.0,0.0,0.0,0.0,
9457,-23492,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23492,7,0.0,0.0,0.0,0.0,
9457,-23492,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9458,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23492,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9458,-23493,8,0.0,0.0,0.0,0.0,
9457,-23494,8,0.0,0.0,0.0,0.0,
9457,-23494,8,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23494,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9458,-23494,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9458,-23493,6,0.0,0.0,0.0,0.0,
9457,-23493,6,0.0,0.0,0.0,0.0,
9457,-23493,6,0.0,0.0,0.0,0.0,
9456,-23493,6,0.0,0.0,0.0,0.0,
9456,-23493,6,0.0,0.0,0.0,0.0,
9456,-23493,6,0.0,0.0,0.0,0.0,
9457,-23493,6,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9456,-23494,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23494,7,0.0,0.0,0.0,0.0,
9456,-23494,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23494,7,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23492,8,0.0,0.0,0.0,0.0,
9456,-23492,8,0.0,0.0,0.0,0.0,
9457,-23494,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9456,-23494,8,0.0,0.0,0.0,0.0,
9457,-23494,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9457,-23493,8,0.0,0.0,0.0,0.0,
9457,-23494,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9458,-23494,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9457,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,7,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,0.0,0.0,0.0,0.0,
9456,-23493,8,9456.0,-23493.0,8.0,35955.83984375,
9456,-23493,8,9456.0,-23493.0,8.0,35959.4140625,
9457,-23493,8,9456.0,-23493.0,8.0,35960.84765625,
9456,-23493,8,9456.0,-23493.0,8.0,35830.34765625,
9456,-23493,8,9456.0,-23493.0,8.0,35843.12109375,
9456,-23493,9,9456.0,-23493.0,8.0,35849.109375,
9456,-23493,9,9456.0,-23493.0,9.0,35873.30078125,
9457,-23492,9,9456.0,-23493.0,10.0,35911.8203125,
9456,-23492,9,9456.0,-23493.0,11.0,35949.5234375,
9457,-23492,9,9456.0,-23493.0,12.0,35986.7421875,
9457,-23493,9,9456.0,-23493.0,14.0,36052.5390625,
9456,-23493,9,9456.0,-23493.0,17.0,36127.5703125,
9456,-23492,9,9456.0,-23493.0,20.0,36254.9765625,
9457,-23493,9,9456.0,-23493.0,23.0,36470.4140625,
9457,-23493,9,9456.0,-23493.0,27.0,36659.75390625,
9457,-23493,10,9456.0,-23493.0,32.0,36926.31640625,
