1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
62,-97,5,0.0,0.0,0.0,0.0,0.0,
63,-95,5,0.0,0.0,0.0,0.0,0.0,
63,-95,5,0.0,0.0,0.0,0.0,0.0,
63,-95,5,0.0,0.0,0.0,0.0,0.0,
63,-95,5,0.0,0.0,0.0,0.0,0.0,
63,-96,6,0.0,0.0,0.0,0.0,0.0,
63,-95,6,0.0,0.0,0.0,0.0,0.0,
63,-95,6,0.0,0.0,0.0,0.0,0.0,
63,-95,6,0.0,0.0,0.0,0.0,0.0,
63,-96,6,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-96,7,0.0,0.0,0.0,0.0,0.0,
63,-96,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
63,-96,8,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-96,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-94,7,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-94,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
63,-95,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
62,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
61,-94,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
61,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,7,0.0,0.0,0.0,0.0,0.0,
63,-95,7,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
