1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,7,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,6,0.0,0.0,0.0,0.0,
51,-44,5,0.0,0.0,0.0,0.0,
51,-45,5,0.0,0.0,0.0,0.0,
50,-44,5,0.0,0.0,0.0,0.0,
50,-44,5,0.0,0.0,0.0,0.0,
50,-44,5,0.0,0.0,0.0,0.0,
50,-44,4,0.0,0.0,0.0,0.0,
50,-44,4,0.0,0.0,0.0,0.0,
49,-44,3,0.0,0.0,0.0,0.0,
49,-45,3,0.0,0.0,0.0,0.0,
49,-45,4,0.0,0.0,0.0,0.0,
49,-45,4,0.0,0.0,0.0,0.0,
49,-45,4,0.0,0.0,0.0,0.0,
49,-45,4,0.0,0.0,0.0,0.0,
49,-45,6,0.0,0.0,0.0,0.0,
49,-45,6,0.0,0.0,0.0,0.0,
49,-45,6,0.0,0.0,0.0,0.0,
49,-45,6,0.0,0.0,0.0,0.0,
49,-45,6,0.0,0.0,0.0,0.0,
49,-45,7,0.0,0.0,0.0,0.0,
49,-45,7,0.0,0.0,0.0,0.0,
49,-45,7,0.0,0.0,0.0,0.0,
48,-45,7,0.0,0.0,0.0,0.0,
48,-45,7,0.0,0.0,0.0,0.0,
48,-45,8,0.0,0.0,0.0,0.0,
48,-45,8,0.0,0.0,0.0,0.0,
48,-45,8,0.0,0.0,0.0,0.0,
47,-45,6,0.0,0.0,0.0,0.0,
48,-45,6,0.0,0.0,0.0,0.0,
48,-45,6,0.0,0.0,0.0,0.0,
47,-45,7,0.0,0.0,0.0,0.0,
47,-45,7,0.0,0.0,0.0,0.0,
48,-44,7,0.0,0.0,0.0,0.0,
48,-45,7,0.0,0.0,0.0,0.0,
48,-45,7,0.0,0.0,0.0,0.0,
48,-44,7,0.0,0.0,0.0,0.0,
48,-44,5,0.0,0.0,0.0,0.0,
48,-44,5,0.0,0.0,0.0,0.0,
47,-44,5,0.0,0.0,0.0,0.0,
47,-44,5,0.0,0.0,0.0,0.0,
