1
Deck is attached!
stateEstimateZ.z,ctrltargetZ.z,stabilizer.thrust,debug.error,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
24,0.0,0.0,0.0,
24,0.0,0.0,0.0,
24,0.0,0.0,0.0,
24,0.0,0.0,0.0,
24,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
20,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
21,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
23,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
21,0.0,0.0,0.0,
21,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
22,0.0,0.0,0.0,
23,22.0,35918.8125,-7.293187081813812e-05,
23,22.0,35918.8125,-7.293187081813812e-05,
23,22.0,35908.1484375,-0.00012008287012577057,
23,22.0,35908.1484375,-0.00012008287012577057,
22,23.0,35937.41796875,3.000907599925995e-05,
22,23.0,35937.41796875,3.000907599925995e-05,
22,23.0,36139.99609375,0.0012603029608726501,
22,23.0,36139.99609375,0.0012603029608726501,
22,25.0,36416.7109375,0.0028704851865768433,
22,25.0,36416.7109375,0.0028704851865768433,
22,28.0,36939.53125,0.006125019863247871,
22,28.0,36939.53125,0.006125019863247871,
22,33.0,37649.51953125,0.01074586808681488,
22,33.0,37649.51953125,0.01074586808681488,
22,39.0,38648.1328125,0.017443031072616577,
22,39.0,38648.1328125,0.017443031072616577,
22,48.0,39953.2890625,0.026199011132121086,
22,48.0,39953.2890625,0.026199011132121086,
22,59.0,41521.41796875,0.036759745329618454,
22,59.0,41521.41796875,0.036759745329618454,
22,72.0,43443.609375,0.04985593259334564,
22,72.0,43443.609375,0.04985593259334564,
23,87.0,45572.55859375,0.06439801305532455,
23,87.0,45572.55859375,0.06439801305532455,
23,104.0,48047.41015625,0.08127773553133011,
23,104.0,48047.41015625,0.08127773553133011,
22,123.0,50722.2421875,0.09952299296855927,
22,123.0,50722.2421875,0.09952299296855927,
23,142.0,52500.0,0.11943811178207397,
23,142.0,52500.0,0.11943811178207397,
23,162.0,52500.0,0.13894318044185638,
18,162.0,52500.0,0.13894318044185638,
18,182.0,52500.0,0.16329002380371094,
19,182.0,52500.0,0.16329002380371094,
20,201.0,52500.0,0.18139417469501495,
11,201.0,52500.0,0.18139417469501495,
12,219.0,52500.0,0.20770224928855896,
12,219.0,52500.0,0.20770224928855896,
14,236.0,52500.0,0.2223638892173767,
16,236.0,52500.0,0.2223638892173767,
14,251.0,52500.0,0.23705825209617615,
16,251.0,52500.0,0.23705825209617615,
18,264.0,52500.0,0.2462109476327896,
20,264.0,52500.0,0.2462109476327896,
26,275.0,52500.0,0.24896900355815887,
29,275.0,52500.0,0.24896900355815887,
32,284.0,52500.0,0.25109463930130005,
36,284.0,52500.0,0.25109463930130005,
39,290.0,52500.0,0.25044387578964233,
46,290.0,52500.0,0.25044387578964233,
51,294.0,52500.0,0.24372050166130066,
55,294.0,52500.0,0.24372050166130066,
61,297.0,52500.0,0.2366139441728592,
74,297.0,52500.0,0.2366139441728592,
80,299.0,52500.0,0.21834689378738403,
86,299.0,52500.0,0.21834689378738403,
92,299.0,52500.0,0.2068507969379425,
101,299.0,52500.0,0.2068507969379425,
108,299.0,50451.81640625,0.1914764642715454,
115,299.0,50451.81640625,0.1914764642715454,
122,299.0,47346.71484375,0.17756995558738708,
129,299.0,47346.71484375,0.17756995558738708,
139,299.0,43800.62109375,0.16008667647838593,
147,299.0,43800.62109375,0.16008667647838593,
155,299.0,40570.96875,0.14455942809581757,
163,299.0,40570.96875,0.14455942809581757,
171,299.0,37394.3046875,0.12836088240146637,
179,299.0,37394.3046875,0.12836088240146637,
188,299.0,34444.5625,0.11193928122520447,
196,299.0,34444.5625,0.11193928122520447,
204,299.0,31724.064453125,0.09540170431137085,
213,299.0,31724.064453125,0.09540170431137085,
221,299.0,29170.880859375,0.07836447656154633,
229,299.0,29170.880859375,0.07836447656154633,
237,299.0,27009.240234375,0.06227722764015198,
245,299.0,27009.240234375,0.06227722764015198,
252,299.0,25265.6484375,0.047154247760772705,
260,299.0,25265.6484375,0.047154247760772705,
267,299.0,23847.5859375,0.03245168924331665,
271,299.0,23847.5859375,0.03245168924331665,
278,299.0,23355.8046875,0.02193722128868103,
284,299.0,23355.8046875,0.02193722128868103,
290,299.0,22906.166015625,0.00968065857887268,
295,299.0,22906.166015625,0.00968065857887268,
301,299.0,22718.953125,-0.001598656177520752,
306,299.0,22718.953125,-0.001598656177520752,
311,299.0,22815.0625,-0.011162042617797852,
315,299.0,22815.0625,-0.011162042617797852,
317,299.0,23595.7578125,-0.017158448696136475,
320,299.0,23595.7578125,-0.017158448696136475,
323,299.0,24534.40234375,-0.02338501811027527,
325,299.0,24534.40234375,-0.02338501811027527,
327,299.0,25777.580078125,-0.027952909469604492,
330,299.0,25777.580078125,-0.027952909469604492,
332,299.0,27058.09765625,-0.032057732343673706,
332,299.0,27058.09765625,-0.032057732343673706,
333,299.0,28793.392578125,-0.03321307897567749,
333,299.0,28793.392578125,-0.03321307897567749,
332,299.0,30830.314453125,-0.03274136781692505,
331,299.0,30830.314453125,-0.03274136781692505,
330,299.0,33177.87109375,-0.030362844467163086,
331,299.0,33177.87109375,-0.030362844467163086,
329,299.0,35213.83203125,-0.0291689932346344,
326,299.0,35213.83203125,-0.0291689932346344,
323,299.0,37643.41015625,-0.023901760578155518,
320,299.0,37643.41015625,-0.023901760578155518,
318,299.0,40056.5859375,-0.018039464950561523,
313,299.0,40056.5859375,-0.018039464950561523,
309,299.0,42035.796875,-0.013840526342391968,
305,299.0,42035.796875,-0.013840526342391968,
299,299.0,44546.3984375,-0.004550307989120483,
294,299.0,44546.3984375,-0.004550307989120483,
289,299.0,47094.89453125,0.0051323771476745605,
284,299.0,47094.89453125,0.0051323771476745605,
280,299.0,49704.79296875,0.015610456466674805,
274,299.0,49704.79296875,0.015610456466674805,
268,299.0,51930.75,0.02535340189933777,
263,299.0,51930.75,0.02535340189933777,
257,299.0,52500.0,0.036617130041122437,
252,299.0,52500.0,0.036617130041122437,
247,299.0,52500.0,0.04743286967277527,
241,299.0,52500.0,0.04743286967277527,
236,299.0,52500.0,0.058344945311546326,
228,299.0,52500.0,0.058344945311546326,
222,299.0,52500.0,0.07181371748447418,
217,299.0,52500.0,0.07181371748447418,
212,299.0,52500.0,0.08213774859905243,
208,299.0,52500.0,0.08213774859905243,
204,299.0,52500.0,0.09096695482730865,
200,299.0,52500.0,0.09096695482730865,
196,299.0,52500.0,0.09963619709014893,
192,299.0,52500.0,0.09963619709014893,
188,299.0,52500.0,0.10773548483848572,
185,299.0,52500.0,0.10773548483848572,
182,299.0,52500.0,0.1147390753030777,
179,299.0,52500.0,0.1147390753030777,
175,299.0,52500.0,0.12085528671741486,
172,299.0,52500.0,0.12085528671741486,
170,299.0,52500.0,0.12728621065616608,
168,299.0,52500.0,0.12728621065616608,
166,299.0,52500.0,0.13172177970409393,
164,299.0,52500.0,0.13172177970409393,
162,299.0,52500.0,0.13590790331363678,
161,299.0,52500.0,0.13590790331363678,
160,299.0,52500.0,0.13852845132350922,
161,299.0,52500.0,0.13852845132350922,
160,299.0,52500.0,0.1386907547712326,
160,299.0,52500.0,0.1386907547712326,
160,299.0,52500.0,0.13931767642498016,
160,299.0,52500.0,0.13931767642498016,
162,299.0,52500.0,0.13814939558506012,
163,299.0,52500.0,0.13814939558506012,
164,299.0,52500.0,0.1368507444858551,
165,299.0,52500.0,0.1368507444858551,
165,299.0,52500.0,0.13612300157546997,
166,299.0,52500.0,0.13612300157546997,
168,299.0,52500.0,0.13321824371814728,
170,299.0,52500.0,0.13321824371814728,
173,299.0,51627.15625,0.12943729758262634,
176,299.0,51627.15625,0.12943729758262634,
178,299.0,49759.13671875,0.12371939420700073,
181,299.0,49759.13671875,0.12371939420700073,
185,299.0,47841.47265625,0.1180586963891983,
187,299.0,47841.47265625,0.1180586963891983,
191,299.0,45942.296875,0.11208370327949524,
195,299.0,45942.296875,0.11208370327949524,
199,299.0,43983.4296875,0.10486742854118347,
198,299.0,43983.4296875,0.10486742854118347,
202,299.0,42825.88671875,0.10152485966682434,
206,299.0,42825.88671875,0.10152485966682434,
210,299.0,41249.609375,0.09362296760082245,
214,299.0,41249.609375,0.09362296760082245,
216,299.0,40008.62109375,0.08731886744499207,
221,299.0,40008.62109375,0.08731886744499207,
225,299.0,38505.60546875,0.07894961535930634,
229,299.0,38505.60546875,0.07894961535930634,
235,299.0,36797.13671875,0.06899887323379517,
239,299.0,36797.13671875,0.06899887323379517,
243,299.0,35309.7890625,0.060305431485176086,
248,299.0,35309.7890625,0.060305431485176086,
252,299.0,34037.1484375,0.05176347494125366,
255,299.0,34037.1484375,0.05176347494125366,
259,299.0,33258.671875,0.04470229148864746,
262,299.0,33258.671875,0.04470229148864746,
266,299.0,32602.59765625,0.03701591491699219,
271,299.0,32602.59765625,0.03701591491699219,
274,299.0,31895.943359375,0.028430402278900146,
278,299.0,31895.943359375,0.028430402278900146,
281,299.0,31525.671875,0.021822452545166016,
283,299.0,31525.671875,0.021822452545166016,
286,299.0,31438.978515625,0.016107797622680664,
288,299.0,31438.978515625,0.016107797622680664,
290,299.0,31665.41015625,0.011219650506973267,
292,299.0,31665.41015625,0.011219650506973267,
294,299.0,32151.36328125,0.0072280168533325195,
295,299.0,32151.36328125,0.0072280168533325195,
296,299.0,32870.16796875,0.004355072975158691,
297,299.0,32870.16796875,0.004355072975158691,
298,299.0,33746.8359375,0.0023307502269744873,
298,299.0,33746.8359375,0.0023307502269744873,
298,299.0,34841.7890625,0.0016030073165893555,
298,299.0,34841.7890625,0.0016030073165893555,
297,299.0,36107.9375,0.00195428729057312,
297,299.0,36107.9375,0.00195428729057312,
296,299.0,37383.30859375,0.0026168525218963623,
295,299.0,37383.30859375,0.0026168525218963623,
293,299.0,38852.265625,0.004947841167449951,
293,299.0,38852.265625,0.004947841167449951,
291,299.0,40066.20703125,0.006184995174407959,
289,299.0,40066.20703125,0.006184995174407959,
287,299.0,41561.3203125,0.010121703147888184,
286,299.0,41561.3203125,0.010121703147888184,
283,299.0,42904.8984375,0.013566911220550537,
281,299.0,42904.8984375,0.013566911220550537,
278,299.0,44436.87109375,0.018825501203536987,
275,299.0,44436.87109375,0.018825501203536987,
272,299.0,45912.7421875,0.024372845888137817,
269,299.0,45912.7421875,0.024372845888137817,
266,299.0,47384.12109375,0.030598729848861694,
262,299.0,47384.12109375,0.030598729848861694,
258,299.0,48882.87890625,0.03788653016090393,
255,299.0,48882.87890625,0.03788653016090393,
252,299.0,50146.2265625,0.044572263956069946,
248,299.0,50146.2265625,0.044572263956069946,
248,299.0,51219.921875,0.051222532987594604,
245,299.0,51219.921875,0.051222532987594604,
245,299.0,51480.9453125,0.0545421838760376,
242,299.0,51480.9453125,0.0545421838760376,
239,299.0,51818.48046875,0.060713931918144226,
237,299.0,51818.48046875,0.060713931918144226,
235,299.0,51715.51171875,0.06491401791572571,
232,299.0,51715.51171875,0.06491401791572571,
230,299.0,51603.41015625,0.06921589374542236,
227,299.0,51603.41015625,0.06921589374542236,
225,299.0,51598.15234375,0.07415515184402466,
224,299.0,51598.15234375,0.07415515184402466,
222,299.0,51340.4140625,0.07719720900058746,
221,299.0,51340.4140625,0.07719720900058746,
218,299.0,51196.453125,0.08110184967517853,
217,299.0,51196.453125,0.08110184967517853,
217,299.0,50682.48828125,0.08277508616447449,
216,299.0,50682.48828125,0.08277508616447449,
214,299.0,50333.28125,0.08564890921115875,
214,299.0,50333.28125,0.08564890921115875,
214,299.0,49616.0078125,0.08596973121166229,
214,299.0,49616.0078125,0.08596973121166229,
213,299.0,48745.24609375,0.08552290499210358,
214,299.0,48745.24609375,0.08552290499210358,
214,299.0,47846.578125,0.0850827693939209,
215,299.0,47846.578125,0.0850827693939209,
216,299.0,46797.1328125,0.08327807486057281,
217,299.0,46797.1328125,0.08327807486057281,
219,299.0,45677.53125,0.0807047039270401,
220,299.0,45677.53125,0.0807047039270401,
222,299.0,44527.8203125,0.07766449451446533,
224,299.0,44527.8203125,0.07766449451446533,
225,299.0,43379.65234375,0.07413940131664276,
227,299.0,43379.65234375,0.07413940131664276,
229,299.0,42258.4765625,0.07016551494598389,
231,299.0,42258.4765625,0.07016551494598389,
233,299.0,41347.11328125,0.06675806641578674,
235,299.0,41347.11328125,0.06675806641578674,
237,299.0,40421.4375,0.062318190932273865,
239,299.0,40421.4375,0.062318190932273865,
241,299.0,39681.25390625,0.058330073952674866,
243,299.0,39681.25390625,0.058330073952674866,
246,299.0,38966.32421875,0.05381062626838684,
248,299.0,38966.32421875,0.05381062626838684,
252,299.0,38351.17578125,0.04936531186103821,
254,299.0,38351.17578125,0.04936531186103821,
256,299.0,37551.98046875,0.043453097343444824,
258,299.0,37551.98046875,0.043453097343444824,
260,299.0,37042.2265625,0.039230018854141235,
262,299.0,37042.2265625,0.039230018854141235,
264,299.0,36785.87109375,0.03573596477508545,
266,299.0,36785.87109375,0.03573596477508545,
267,299.0,36713.859375,0.03229856491088867,
269,299.0,36713.859375,0.03229856491088867,
271,299.0,36668.2734375,0.028557687997817993,
272,299.0,36668.2734375,0.028557687997817993,
273,299.0,36824.890625,0.026048243045806885,
275,299.0,36824.890625,0.026048243045806885,
276,299.0,37045.74609375,0.023691564798355103,
277,299.0,37045.74609375,0.023691564798355103,
277,299.0,37462.51953125,0.022300362586975098,
278,299.0,37462.51953125,0.022300362586975098,
277,299.0,38236.7734375,0.022687673568725586,
277,299.0,38236.7734375,0.022687673568725586,
277,299.0,39040.03515625,0.022710680961608887,
277,299.0,39040.03515625,0.022710680961608887,
276,299.0,39907.84375,0.023355215787887573,
276,299.0,39907.84375,0.023355215787887573,
275,299.0,40776.4921875,0.02447715401649475,
274,299.0,40776.4921875,0.02447715401649475,
273,299.0,41702.88671875,0.026299118995666504,
274,299.0,41702.88671875,0.026299118995666504,
272,299.0,42373.8203125,0.027015715837478638,
271,299.0,42373.8203125,0.027015715837478638,
270,299.0,43204.921875,0.029617667198181152,
268,299.0,43204.921875,0.029617667198181152,
266,299.0,44186.3046875,0.033463746309280396,
264,299.0,44186.3046875,0.033463746309280396,
263,299.0,45095.32421875,0.03680497407913208,
261,299.0,45095.32421875,0.03680497407913208,
260,299.0,45819.9921875,0.03964737057685852,
258,299.0,45819.9921875,0.03964737057685852,
256,299.0,46471.08203125,0.04318439960479736,
255,299.0,46471.08203125,0.04318439960479736,
253,299.0,47031.87109375,0.04684793949127197,
251,299.0,47031.87109375,0.04684793949127197,
249,299.0,47502.68359375,0.050319746136665344,
248,299.0,47502.68359375,0.050319746136665344,
248,299.0,47851.51953125,0.05360177159309387,
246,299.0,47851.51953125,0.05360177159309387,
