1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,debug.error,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,6,0.0,0.0,0.0,0.0,0.0,
8,-32,5,0.0,0.0,0.0,0.0,0.0,
8,-32,5,0.0,0.0,0.0,0.0,0.0,
8,-32,5,0.0,0.0,0.0,0.0,0.0,
8,-32,5,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-32,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,5,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
7,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
5,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,5,0.0,0.0,0.0,0.0,0.0,
6,-31,5,0.0,0.0,0.0,0.0,0.0,
6,-31,5,0.0,0.0,0.0,0.0,0.0,
6,-31,5,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
6,-31,6,0.0,0.0,0.0,0.0,0.0,
5,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
5,-31,7,0.0,0.0,0.0,0.0,0.0,
5,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,8,0.0,0.0,0.0,0.0,0.0,
4,-31,8,0.0,0.0,0.0,0.0,0.0,
5,-31,8,0.0,0.0,0.0,0.0,0.0,
5,-31,8,0.0,0.0,0.0,0.0,0.0,
5,-31,8,0.0,0.0,0.0,0.0,0.0,
5,-31,7,0.0,0.0,0.0,0.0,0.0,
5,-31,8,0.0,0.0,0.0,0.0,0.0,
4,-31,8,0.0,0.0,0.0,0.0,0.0,
3,-31,8,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
2,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,7,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
4,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,6,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-31,7,0.0,0.0,0.0,0.0,0.0,
3,-32,7,0.0,0.0,0.0,0.0,0.0,
